tconst,nconst
tt0093779,nm0000625
tt0093779,nm0000705
tt0093779,nm0001302
tt0093779,nm0001597
tt0093779,nm0001661
tt0093779,nm0001697
tt0093779,nm0001728
tt0093870,nm0000262
tt0093870,nm0000682
tt0093870,nm0000693
tt0093870,nm0001074
tt0093870,nm0001748
tt0093870,nm0005204
tt0093870,nm0675066
tt0093870,nm0936403
tt0093870,nm0001208
tt0093870,nm0233306
tt0093870,nm0641397
tt0094012,nm0000316
tt0094012,nm0000597
tt0094012,nm0001548
tt0094012,nm0001879
tt0094012,nm0935498
tt0094012,nm0943927
tt0094012,nm0001006
tt0094012,nm0001672
tt0094012,nm0887694
tt0094012,nm0946489
tt0094226,nm0000126
tt0094226,nm0000134
tt0094226,nm0000361
tt0094226,nm0000412
tt0094226,nm0001747
tt0094226,nm0165101
tt0094226,nm0513165
tt0094226,nm0000125
tt0094226,nm0103071
tt0094226,nm0236711
tt0094226,nm0444955
tt0094226,nm0837976
tt0094291,nm0000140
tt0094291,nm0000221
tt0094291,nm0000231
tt0094291,nm0001525
tt0094291,nm0876645
tt0094291,nm0001358
tt0094291,nm0184429
tt0094291,nm0311620
tt0094291,nm0439170
tt0094291,nm0696299
tt0094336,nm0001290
tt0094336,nm0001524
tt0094336,nm0114460
tt0094336,nm0641713
tt0094336,nm0732430
tt0094336,nm0104807
tt0094336,nm0255573
tt0094336,nm0341743
tt0094336,nm0375370
tt0094336,nm0425904
tt0094336,nm0840002
tt0094608,nm0000149
tt0094608,nm0000534
tt0094608,nm0005121
tt0094608,nm0031078
tt0094608,nm0183464
tt0094608,nm0372475
tt0094608,nm0612329
tt0094608,nm0639856
tt0094608,nm0744235
tt0094608,nm0887592
tt0094608,nm0034492
tt0094608,nm0415494
tt0094608,nm0438279
tt0094663,nm0000095
tt0094663,nm0000588
tt0094663,nm0000990
tt0094663,nm0001100
tt0094663,nm0001201
tt0094663,nm0339086
tt0094663,nm0000432
tt0094663,nm0000453
tt0094663,nm0001687
tt0094663,nm0001773
tt0094663,nm0002144
tt0094663,nm0006800
tt0094716,nm0000286
tt0094716,nm0000574
tt0094716,nm0000874
tt0094716,nm0001169
tt0094716,nm0001934
tt0094716,nm0042805
tt0094716,nm0367496
tt0094716,nm0721817
tt0094721,nm0000133
tt0094721,nm0000285
tt0094721,nm0000474
tt0094721,nm0001573
tt0094721,nm0568499
tt0094721,nm0766822
tt0094721,nm0822230
tt0094737,nm0001334
tt0094737,nm0001508
tt0094737,nm0005162
tt0094737,nm0000158
tt0094737,nm0001484
tt0094737,nm0001610
tt0094737,nm0001689
tt0094737,nm0164131
tt0094737,nm0339086
tt0094737,nm0608378
tt0094737,nm0750758
tt0094828,nm0167515
tt0094828,nm0482536
tt0094828,nm0686506
tt0094828,nm0732877
tt0094828,nm0784523
tt0094828,nm0000254
tt0094828,nm0000367
tt0094828,nm0005814
tt0094828,nm0095573
tt0094828,nm0344932
tt0094828,nm0495947
tt0094898,nm0000484
tt0094898,nm0000552
tt0094898,nm0004731
tt0094898,nm0061003
tt0094898,nm0226851
tt0094898,nm0585636
tt0094898,nm0000469
tt0094898,nm0801672
tt0095016,nm0000614
tt0095016,nm0322339
tt0095016,nm0324231
tt0095016,nm0793363
tt0095016,nm0000246
tt0095016,nm0000889
tt0095016,nm0000952
tt0095016,nm0001532
tt0095016,nm0001817
tt0095016,nm0005428
tt0095016,nm0924636
tt0095270,nm0000691
tt0095270,nm0001323
tt0095270,nm0001442
tt0095270,nm0003080
tt0095270,nm0004923
tt0095270,nm0694572
tt0095270,nm0697628
tt0095270,nm0820544
tt0095270,nm0001145
tt0095270,nm0005467
tt0095270,nm0095122
tt0095270,nm0114616
tt0095302,nm0151925
tt0095302,nm0234270
tt0095302,nm0005139
tt0095302,nm0051394
tt0095302,nm0205289
tt0095302,nm0413946
tt0095302,nm0544334
tt0095302,nm0697527
tt0095302,nm0790689
tt0095302,nm0864875
tt0095302,nm0914327
tt0095302,nm1707112
tt0095631,nm0001199
tt0095631,nm0001301
tt0095631,nm0001433
tt0095631,nm0039226
tt0095631,nm0286561
tt0095631,nm0444955
tt0095631,nm0000134
tt0095631,nm0000976
tt0095631,nm0001592
tt0095631,nm0680881
tt0095647,nm0000353
tt0095647,nm0000374
tt0095647,nm0000531
tt0095647,nm0740264
tt0095647,nm0864997
tt0095647,nm0898546
tt0095647,nm0957712
tt0095647,nm0000388
tt0095647,nm0000432
tt0095647,nm0000570
tt0095647,nm0171348
tt0095647,nm0229200
tt0095647,nm0765605
tt0095705,nm0001636
tt0095705,nm0001878
tt0095705,nm0083541
tt0095705,nm0000558
tt0095705,nm0001421
tt0095705,nm0001544
tt0095705,nm0001740
tt0095705,nm0153055
tt0095705,nm0545408
tt0095705,nm0930506
tt0095800,nm0001409
tt0095800,nm0001945
tt0095800,nm0480185
tt0095800,nm0908685
tt0095800,nm1075976
tt0095800,nm0000269
tt0095953,nm0613789
tt0095953,nm0000129
tt0095953,nm0000163
tt0095953,nm0000420
tt0095953,nm0001372
tt0095953,nm0001469
tt0095953,nm0421087
tt0095953,nm0425741
tt0095953,nm0731426
tt0095953,nm0732152
tt0095953,nm0786860
tt0096245,nm0021835
tt0096245,nm0432553
tt0096245,nm0652808
tt0096245,nm0347453
tt0096438,nm0001364
tt0096438,nm0443401
tt0096438,nm0503236
tt0096438,nm0863519
tt0096438,nm0915226
tt0096438,nm0000502
tt0096438,nm0000709
tt0096438,nm0005428
tt0096438,nm0105280
tt0096438,nm0281486
tt0096438,nm0386516
tt0096438,nm0550881
tt0096754,nm0000116
tt0096754,nm0000299
tt0096754,nm0000438
tt0096754,nm0001512
tt0096754,nm0066023
tt0096754,nm0333804
tt0096754,nm0779451
tt0096754,nm0108107
tt0096754,nm0122238
tt0096754,nm0459188
tt0096754,nm0703862
tt0096874,nm0000150
tt0096874,nm0000223
tt0096874,nm0000502
tt0096874,nm0000670
tt0096874,nm0000708
tt0096874,nm0000709
tt0096874,nm0001855
tt0096874,nm0169454
tt0096874,nm0301826
tt0096874,nm0797150
tt0096874,nm0866055
tt0096874,nm0919297
tt0096895,nm0001284
tt0096895,nm0001588
tt0096895,nm0385757
tt0096895,nm0000107
tt0096895,nm0000197
tt0096895,nm0000474
tt0096895,nm0001850
tt0096895,nm0005307
tt0096895,nm0355717
tt0096895,nm0910145
tt0096895,nm0943237
tt0096968,nm0286110
tt0096968,nm0311443
tt0096968,nm0499062
tt0096968,nm0687336
tt0096968,nm0726181
tt0096968,nm0856226
tt0096968,nm0869099
tt0096968,nm0899631
tt0096968,nm0958558
tt0096968,nm0706921
tt0096968,nm0805118
tt0097165,nm0000160
tt0097165,nm0000494
tt0097165,nm0001038
tt0097165,nm0001748
tt0097165,nm0001837
tt0097165,nm0360796
tt0097165,nm0476378
tt0097165,nm0749456
tt0097165,nm0859597
tt0097165,nm0914209
tt0097165,nm0000245
tt0097165,nm0432625
tt0097165,nm0516093
tt0097240,nm0000369
tt0097240,nm0001287
tt0097240,nm0001457
tt0097240,nm0001488
tt0097240,nm0001611
tt0097240,nm0001664
tt0097240,nm0001814
tt0097240,nm0401427
tt0097240,nm0951471
tt0097441,nm0000111
tt0097441,nm0000144
tt0097441,nm0000151
tt0097441,nm0000243
tt0097441,nm0001880
tt0097441,nm0191631
tt0097441,nm0278125
tt0097441,nm0448097
tt0097441,nm6230258
tt0097441,nm0105672
tt0097441,nm0635978
tt0097576,nm0000148
tt0097576,nm0000229
tt0097576,nm0002103
tt0097576,nm0126250
tt0097576,nm0233145
tt0097576,nm0539616
tt0097576,nm0722636
tt0097576,nm0000125
tt0097576,nm0000203
tt0097576,nm0001186
tt0097576,nm0248848
tt0097576,nm0915226
tt0097722,nm0000151
tt0097722,nm0000862
tt0097722,nm0004729
tt0097722,nm0680392
tt0097722,nm0865119
tt0097722,nm0000814
tt0097722,nm0347039
tt0097722,nm0635978
tt0097722,nm0714186
